Dates,3m,6m,9m,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,30y
6/12/2025,7.955056179775299,9.328150221139042,8.318760345287224,2.3383552440264577,-4.514939101367421,-12.687775060871287,-11.107518792283289,-16.766823185728,-23.391255928811596,-19.550100451654906,-21.835347553793884,-26.66012754993141,-10.99912435592052,1.3006880907416196,32.05748128218593,38.19801554290216,55.49964362038553
6/11/2025,10.422794117647038,10.993348947212445,12.15212790536202,0.40904813265543183,-5.9698607854364205,-12.68190410136869,-11.974826566328867,-19.47861595884106,-24.936802050612172,-21.40618253170912,-27.060079064202114,-28.0008457610748,-10.961248955059455,2.317352072804546,31.34121726227832,38.66642280098303,56.13064413167655
6/10/2025,7.955056179775299,17.305099739516148,11.360918608719038,2.0696178077044713,-6.471686643000352,-14.190174583155235,-14.293075006711398,-20.732974909413706,-24.87942725042629,-25.27619489362496,-26.939379446166356,-28.005391726516613,-10.962001325862802,2.317329229856524,32.03272592643582,38.64291504944166,56.1040798720168
6/9/2025,11.407387955182102,16.272992363318565,10.341825385214111,3.1294944971894,-6.077121929895357,-15.100629622491768,-16.45410544321222,-20.60981344206749,-23.211628908811164,-23.403617554861846,-29.231623757615345,-25.46118328329681,-9.705753304877485,2.2860523415768164,32.72119502565416,37.715545042264196,54.83471330176309
6/6/2025,12.881983240223427,15.523329198780411,10.53420939032872,2.465420827052034,-6.635812043224343,-16.72294131110874,-19.684192929758648,-20.140194783391287,-23.552527392071585,-28.052242411837813,-23.75509974783605,-28.08985677702207,-11.225891431788648,2.526593108389008,31.33518266832178,39.113890605602336,56.741227072875326
6/5/2025,12.881983240223427,15.523329198780411,11.110078147442781,2.3768465342269174,-7.104851321970784,-16.84318644227956,-19.446894841585745,-20.4306919625052,-23.20654925932746,-23.39856190719258,-29.22406658069687,-27.939856777022065,-11.225891431788648,2.526593108389008,31.33518266832178,39.113890605602336,56.741227072875326
6/4/2025,13.372730446927461,15.99078355137351,7.972687335233575,1.5878442401539683,-6.221635418026272,-17.756372342667248,-19.381848363531383,-21.262957087701295,-23.83217393643875,-23.369674893690465,-27.882658187115616,-31.978504030391708,-9.541473837463377,2.286120966402594,32.739631394164626,44.89974360747673,64.65804616228228
6/3/2025,18.748607242339823,15.384855945853413,10.68156917675731,2.0419264280639116,-3.656819896414687,-15.52369887908207,-17.338892871828904,-19.3430672057179,-23.074502568954312,-26.91752734276625,-24.688379645341165,-23.616833961148174,-9.493841269034009,3.0909711271068563,35.45192565980289,44.76749524591912,64.45701374346382
6/2/2025,18.748607242339823,15.384855945853413,11.064401468472518,2.1262623662664737,-4.260668881932572,-15.461198879082083,-17.338892871828904,-19.731711924465767,-22.590370427387185,-21.50665924080668,-24.865139883300102,-30.588404763701902,-10.37366538466995,3.9254043541080197,35.4352589931362,44.76749524591912,64.45701374346382
5/30/2025,19.23520194986077,15.134419215119445,10.872717825177158,1.9304059537982088,-4.2106688819326,-14.614031332246746,-16.285848377911407,-20.629306058477596,-23.220245750986024,-21.482149722642994,-33.34907007622512,-20.920200191242035,-9.819873057852435,2.2859899000704953,32.70443049491037,45.266877625885634,65.07134611943766
