Dates,KWCDC CMPN Curncy,KWSWNIF BGN Curncy,KWSWNII BGN Curncy,KWSWNI1 BGN Curncy,KWSWNI2 BGN Curncy,KWSWNI3 BGN Curncy,KWSWNI4 BGN Curncy,KWSWNI5 BGN Curncy,KWSWNI6 BGN Curncy,KWSWNI7 BGN Curncy,KWSWNI8 BGN Curncy,KWSWNI9 BGN Curncy,KWSWNI10 BGN Curncy,KWSWNI12 BGN Curncy,KWSWNI15 BGN Curncy,KWSWNI20 BGN Curncy,KWSWO30 BGN Curncy
1/21/2025,2.7207,2.6322,2.5974,2.5749,2.5437,2.5478,2.5687,2.5841,2.6026,2.6228,2.6378,2.6545,2.6689,2.6791,2.6323,2.4661,2.3016
1/20/2025,2.7506,2.6534,2.6174,2.598,2.5752,2.5906,2.6187,2.636,2.6539,2.6765,2.6963,2.7107,2.7244,2.7295,2.678,2.5118,2.3471
1/17/2025,2.7443,2.6434,2.6017,2.5801,2.554,2.5711,2.606,2.6273,2.6497,2.6705,2.6893,2.706,2.7201,2.7305,2.6751,2.5116,2.3499
1/16/2025,2.8154,2.6908,2.6413,2.6218,2.6006,2.6229,2.6567,2.6765,2.6949,2.7114,2.7273,2.741,2.7535,2.764,2.7089,2.5473,2.3875
1/15/2025,2.8304,2.732,2.6906,2.6767,2.6642,2.6905,2.7308,2.7551,2.7725,2.7892,2.8049,2.819,2.8329,2.8415,2.7848,2.6155,2.4484
1/14/2025,2.8205,2.7232,2.6673,2.6524,2.6379,2.6616,2.699,2.7199,2.7362,2.7518,2.7666,2.7834,2.7963,2.8032,2.7489,2.5798,2.4129
1/13/2025,2.8504,2.7382,2.6872,2.6751,2.6655,2.6898,2.7242,2.7464,2.7634,2.7803,2.7948,2.8102,2.8224,2.8318,2.7824,2.6182,2.456
1/10/2025,2.8094,2.6831,2.6157,2.5926,2.5681,2.592,2.6282,2.6526,2.6735,2.6921,2.7076,2.7259,2.7402,2.7494,2.696,2.5422,2.3902
1/9/2025,2.7507,2.6335,2.559,2.541,2.5206,2.5391,2.5717,2.5946,2.6147,2.6332,2.6509,2.6686,2.6814,2.6924,2.6404,2.4866,2.3346
1/8/2025,2.7557,2.6443,2.5742,2.5606,2.5428,2.5547,2.5861,2.6037,2.6196,2.6387,2.654,2.6707,2.6852,2.6946,2.6404,2.4991,2.3594
1/7/2025,2.8156,2.6922,2.6188,2.5988,2.5715,2.5771,2.5977,2.6119,2.629,2.6461,2.6605,2.6745,2.6875,2.6974,2.6481,2.5092,2.372
1/6/2025,2.8307,2.728,2.6648,2.6354,2.5952,2.6005,2.6242,2.6409,2.6574,2.6728,2.687,2.6998,2.7118,2.7218,2.6726,2.534,2.3967
1/3/2025,2.8692,2.7244,2.6352,2.5952,2.542,2.5488,2.5711,2.5853,2.6027,2.6188,2.6332,2.6459,2.6589,2.6675,2.6019,2.4565,2.3125
1/2/2025,2.8661,2.7317,2.619,2.5913,2.5572,2.5724,2.5962,2.6106,2.6275,2.6459,2.66,2.671,2.6842,2.6946,2.6403,2.4851,2.3314
1/1/2025,2.9861,2.8178,2.6866,2.6645,2.6393,2.6547,2.6756,2.6909,2.7065,2.7181,2.7312,2.7437,2.7551,2.7662,2.7167,2.5616,2.4085
12/31/2024,2.9861,2.8178,2.6866,2.6645,2.6393,2.6547,2.6756,2.6909,2.7065,2.7181,2.7312,2.7437,2.7551,2.7662,2.7167,2.5616,2.4085
12/30/2024,2.9214,2.7893,2.6721,2.653,2.6329,2.6505,2.6727,2.6879,2.705,2.7199,2.7295,2.7436,2.7581,2.765,2.7157,2.5609,2.4079
12/27/2024,2.8884,2.7756,2.6651,2.6559,2.646,2.6596,2.6853,2.7007,2.717,2.7315,2.7448,2.7574,2.769,2.7819,2.7479,2.5805,2.4157
12/26/2024,2.9387,2.8122,2.7065,2.6986,2.6869,2.6926,2.7149,2.7285,2.7418,2.7567,2.7697,2.7813,2.7908,2.8021,2.7554,2.6101,2.4668
12/25/2024,2.9238,2.7989,2.6913,2.6801,2.6619,2.6624,2.683,2.6967,2.7091,2.723,2.7362,2.7479,2.7574,2.7683,2.7224,2.5772,2.4339
12/24/2024,2.9238,2.7989,2.6913,2.6801,2.6617,2.662,2.683,2.6966,2.7087,2.7229,2.7362,2.7479,2.7574,2.7683,2.7224,2.5772,2.4338
12/23/2024,2.9039,2.7777,2.6679,2.6488,2.6187,2.6159,2.6351,2.6475,2.6611,2.6752,2.6848,2.6973,2.709,2.7223,2.6903,2.5208,2.3531
12/20/2024,2.891,2.7688,2.6551,2.641,2.6176,2.6159,2.6384,2.6554,2.6697,2.6842,2.6974,2.7104,2.724,2.7358,2.7024,2.5305,2.3604
12/19/2024,2.894,2.7687,2.6526,2.6307,2.5944,2.5863,2.5981,2.6058,2.6197,2.6333,2.648,2.6588,2.6703,2.683,2.6523,2.4852,2.3202
12/18/2024,2.8343,2.7191,2.5946,2.5637,2.5157,2.5059,2.5175,2.5252,2.5411,2.5573,2.5699,2.5847,2.5962,2.6081,2.581,2.4092,2.2396
12/17/2024,2.874,2.7677,2.668,2.6359,2.5855,2.5738,2.5856,2.5918,2.6034,2.62,2.6331,2.6445,2.6557,2.671,2.6446,2.4725,2.3026
