Date,3m,6m,9m,1y,2y,3y,4y,5y,6y,7y,8y,9y,10y,12y,15y,20y,30y
2024-10-03,3.1971,3.0176,2.9087,2.8309000000000006,2.7123,2.6856999999999998,2.6851,2.6897,2.6994,2.7138,2.725,2.7374,2.7533,2.7688,2.7642,2.6809999999999996,2.5993
2024-10-02,3.1972,3.0190000000000006,2.9088,2.8308999999999997,2.7133,2.6884,2.687,2.6905000000000006,2.7013,2.7138,2.7259,2.7396000000000003,2.7536999999999994,2.7707,2.7642000000000007,2.6811000000000003,2.5992
2024-10-01,3.2257,3.0383,2.9199,2.8437,2.7355999999999994,2.7168999999999994,2.7244,2.7335999999999996,2.7466000000000004,2.7620000000000005,2.7768000000000006,2.7882,2.8027,2.8205,2.8106,2.7296000000000005,2.65
2024-09-30,3.2257,3.0383,2.9198,2.8438000000000003,2.7356999999999996,2.7166999999999994,2.7238,2.7336999999999994,2.7467,2.7621,2.7769000000000004,2.7883,2.8027000000000006,2.8201000000000005,2.8106,2.7296,2.65
2024-09-27,3.2308,3.0459000000000005,2.924,2.8498,2.7461,2.7296,2.7366,2.7492,2.7601,2.7719000000000005,2.7848,2.7962999999999996,2.8104999999999998,2.8289,2.8204,2.7369,2.655
2024-09-26,3.2174,3.0410999999999997,2.9099,2.8419,2.7425,2.7241999999999997,2.7355,2.7471,2.7592,2.7720999999999996,2.7849,2.7965000000000004,2.8104,2.8278999999999996,2.8181,2.7372,2.6575
2024-09-25,3.2375,3.0636999999999994,2.9288,2.8565,2.7502,2.7281,2.7356000000000003,2.7452999999999994,2.7533,2.7669,2.7792000000000003,2.7897999999999996,2.8051,2.8211,2.8105,2.7294999999999994,2.65
2024-09-24,3.2467,3.1082,2.9766,2.9016000000000006,2.7894,2.7624,2.7692,2.7764000000000006,2.7835,2.7951000000000006,2.8078999999999996,2.8187,2.8308,2.8471,2.8281999999999994,2.7472,2.6675
2024-09-23,3.2678,3.1276,2.9956,2.912,2.7883999999999998,2.7587999999999995,2.7595999999999994,2.7636,2.7712000000000003,2.7851,2.7972,2.8069,2.8204000000000002,2.8348,2.818,2.7346,2.6524
2024-09-20,3.2793,3.1351,2.9989999999999997,2.9056999999999995,2.7669999999999995,2.7296999999999993,2.7261000000000006,2.7304,2.7403,2.7540000000000004,2.7662,2.7753,2.7875,2.8042,2.7872000000000003,2.6989,2.6119
2024-09-19,3.2879,3.1539,3.0206,2.9206,2.7689,2.7248,2.7219000000000007,2.7229,2.7258000000000004,2.7358000000000007,2.7484,2.7587000000000006,2.7718999999999996,2.7861,2.7545999999999995,2.6738999999999997,2.5942
2024-09-18,3.2728,3.1502,3.0157000000000003,2.9168000000000003,2.7653,2.7164,2.7051,2.7012999999999994,2.7038,2.7128999999999994,2.7197000000000005,2.7289,2.7408,2.7548000000000004,2.7313000000000005,2.6457000000000006,2.5613
2024-09-17,3.2728,3.1502,3.0157,2.9171,2.7656999999999994,2.7165,2.7052,2.7014,2.7038,2.7144000000000004,2.7235,2.729,2.7409,2.7548,2.7312999999999996,2.6458,2.5614
2024-09-16,3.2729,3.1502,3.0157,2.9171,2.7657,2.7164,2.7052000000000005,2.7014,2.7038,2.7129,2.7196999999999996,2.729,2.7412,2.7571,2.7313,2.6458,2.5614
2024-09-13,3.2729,3.1502,3.0156999999999994,2.917,2.7656999999999994,2.7163999999999997,2.7051,2.7014000000000005,2.7038000000000006,2.7129,2.7197,2.7289,2.7412,2.7571,2.7312999999999996,2.6457,2.5613
2024-09-12,3.3335,3.1866,3.0538999999999996,2.9631,2.8220999999999994,2.7719,2.7580000000000005,2.7530999999999994,2.7553000000000005,2.7618,2.7706,2.7758000000000003,2.7874,2.7998000000000003,2.7709,2.6629,2.5564
2024-09-11,3.2831,3.1489,3.0189999999999997,2.9262000000000006,2.7829,2.7318999999999996,2.7128999999999994,2.7065999999999995,2.7132000000000005,2.7269000000000005,2.7397,2.7457,2.7596,2.7753999999999994,2.7638,2.7002,2.6375
2024-09-10,3.2831,3.1565,3.0391,2.9571000000000005,2.8307,2.7851999999999997,2.7703000000000007,2.7678,2.7751,2.7859,2.7979,2.8075000000000006,2.8213999999999997,2.8385,2.8275,2.7636999999999996,2.7007
2024-09-09,3.2881,3.164,3.0423999999999998,2.9628000000000005,2.8391,2.7948999999999997,2.7837,2.7813,2.7897,2.8009,2.8119000000000005,2.823,2.8367999999999998,2.8538,2.8429,2.7815,2.7209
2024-09-06,3.2743,3.149,3.0304,2.9472000000000005,2.8176000000000005,2.7691999999999997,2.7520000000000002,2.7449,2.7527000000000004,2.7606,2.7732,2.7784,2.7905999999999995,2.808,2.7995999999999994,2.7384,2.6779
2024-09-05,3.273,3.1771,3.0686,2.9851000000000005,2.855,2.8061999999999996,2.7904000000000004,2.788,2.7933,2.8033000000000006,2.8129,2.8211,2.8342,2.8512,2.8404,2.779,2.7183
2024-09-04,3.2881,3.1865,3.0798,3.0018000000000002,2.8763,2.8234,2.8075,2.803,2.8071,2.8188,2.8283000000000005,2.8353999999999995,2.8469999999999995,2.8639000000000006,2.8531,2.7916,2.7309
2024-09-03,3.3083,3.2053000000000003,3.1025000000000005,3.0343000000000004,2.9278,2.8876999999999997,2.8775000000000004,2.8767,2.8809,2.8934000000000006,2.9026,2.9149,2.9267,2.9433,2.9319,2.8677,2.8043
2024-09-02,3.3093,3.2077999999999998,3.1058,3.0415000000000005,2.9403,2.8992,2.886,2.8878,2.8935,2.9042000000000003,2.9148,2.9249,2.9367,2.9535,2.9446,2.8827999999999996,2.8218
2024-08-30,3.2855,3.189,3.0856999999999997,3.0167,2.9075,2.866,2.8586,2.8599,2.8682,2.8783000000000003,2.8889999999999993,2.8991000000000002,2.911,2.9279,2.914,2.8524,2.7915
2024-08-29,3.2993,3.197,3.092,3.0189,2.9035,2.8608000000000002,2.8552999999999997,2.8586,2.8648,2.8789000000000002,2.892,2.9051,2.9183,2.9326,2.9192,2.8575,2.7965
2024-08-28,3.288,3.1796,3.0775,3.0003000000000006,2.8802,2.8401,2.8396,2.8464999999999994,2.856,2.8682,2.8818000000000006,2.8957,2.9081,2.9236,2.9088,2.8472,2.7864
2024-08-27,3.3194,3.2098999999999998,3.1043,3.0284999999999997,2.9118999999999997,2.8735,2.8741,2.8803999999999994,2.8891,2.9026999999999994,2.9162,2.9254000000000002,2.9388,2.9535999999999993,2.9423,2.8855000000000004,2.8293
2024-08-26,3.3144,3.196,3.0842,3.0013,2.8717,2.8207,2.8101000000000003,2.8106,2.8147,2.8256999999999994,2.8353000000000006,2.8478000000000003,2.8605,2.882,2.8734,2.8119,2.7511
2024-08-23,3.3345,3.2188,3.1077,3.0334000000000003,2.913,2.8593,2.8477,2.8463,2.853,2.8634000000000004,2.8759000000000006,2.8858000000000006,2.8969999999999994,2.9223000000000003,2.9166999999999996,2.8575,2.7991
2024-08-22,3.2988,3.1916,3.0920000000000005,3.0174,2.8972,2.8437,2.8312,2.8321,2.8387,2.8492,2.8600999999999996,2.871,2.8838,2.9075999999999995,2.9014,2.8448,2.7888
2024-08-21,3.3215,3.2287999999999997,3.1211,3.0483000000000002,2.9321999999999995,2.8763,2.8596,2.8546999999999993,2.8568,2.8643,2.873,2.8822,2.8914,2.9153,2.9091,2.8525,2.7965
2024-08-20,3.3345,3.2301,3.1252,3.0500000000000003,2.9266,2.8681999999999994,2.8507,2.8455000000000004,2.8497000000000003,2.8575000000000004,2.8674,2.8746999999999994,2.8841,2.9088000000000003,2.9017000000000004,2.8450000000000006,2.789
2024-08-19,3.3144,3.2037000000000004,3.105,3.0256000000000003,2.8979999999999997,2.8413999999999997,2.8253,2.8186,2.8221,2.8303,2.8375,2.8478,2.8607999999999993,2.8848000000000003,2.8788,2.8222,2.7663
2024-08-16,3.3094,3.2037,3.0976999999999997,3.0164,2.8886,2.8360999999999996,2.82,2.8132,2.8165,2.8257,2.8353,2.8465,2.8559,2.8809,2.8762,2.8195999999999994,2.7638
2024-08-15,3.2939,3.1754,3.0753,2.9833000000000003,2.8409999999999997,2.7899999999999996,2.7805999999999997,2.7784,2.7859000000000003,2.7957,2.8067,2.8172,2.8304,2.8543000000000003,2.8483000000000005,2.7918,2.736
2024-08-14,3.2939,3.1755,3.0768,2.9841,2.8411,2.7892,2.7789000000000006,2.7767000000000004,2.7818,2.7956,2.8079,2.8209000000000004,2.8305,2.8544000000000005,2.8483,2.7918,2.736
2024-08-13,3.2794,3.1724,3.0676999999999994,2.9883,2.8646,2.8182,2.8083000000000005,2.8073999999999995,2.8144,2.8271,2.8386000000000005,2.8513,2.864,2.8870999999999998,2.8741,2.8175,2.7614
2024-08-12,3.3246,3.1915000000000004,3.0886,3.0108000000000006,2.8928999999999996,2.8529,2.8423000000000003,2.8385,2.8456,2.8569,2.8683,2.881,2.8929,2.9153000000000002,2.9053,2.8484,2.7921
2024-08-09,3.2895,3.1674999999999995,3.061,2.991,2.8845,2.8508000000000004,2.8494,2.8496,2.8553000000000006,2.8722,2.8832,2.8955,2.9084,2.9323,2.9203,2.8634000000000004,2.8072
2024-08-08,3.2534,3.1288000000000005,3.0224000000000006,2.9584,2.8638999999999997,2.8386,2.8386,2.8439000000000005,2.8532,2.8619999999999997,2.8754,2.8889,2.9029999999999996,2.926,2.915,2.8581,2.802
